state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_AZ;enrollmetric;pp_stloc_raw_AZ;pp_fed_raw_AZ;pp_total_raw_AZ;schoolstloc_raw_AZ;schoolfed_raw_AZ;schooltot_raw_AZ;countenroll;noaudit;nositecen;adfinvars;distflex;ppperfed_raw_AZ;ppperstloc_raw_AZ;ppnonperfed_raw_AZ;ppnonperstloc_raw_AZ;pppersonnel_raw_AZ;ppnonpersonnel_raw_AZ;flag_NERDS
AZ;2018-2019;79457;79458;A Center for Creative Education;Verde Valley Montessori School - A Center for Creative Education;0400328;040032802228;65; KG-08;3;65;October Count Day;10711,85157;118,9698554;10830,82143;696270,3523;7733,040603;704003,3929;1;1;1;1;0;118,9698554;6383,786701;0;4328,064873;6502,756557;4328,064873;0
AZ;2018-2019;90199;90200;Academy Del Sol, Inc.;Academy Del Sol;0400797;040079702994;136; KG-08;3;136;October Count Day;-824,7194023;116,0638783;-708,655524;-112161,8387;15784,68744;-96377,15127;1;1;1;1;0;0;-351,7655202;116,0638783;-472,9538821;-351,7655202;-356,8900038;1
AZ;2018-2019;90199;90770;Academy Del Sol, Inc.;Academy Del Sol - Hope;0400797;040079703230;656; KG-08;3;656;October Count Day;164,5420182;-23,15622103;141,3857971;107939,5639;-15190,48099;92749,08292;1;1;1;1;0;0;70,18169871;-23,15622103;94,36031945;70,18169871;71,20409843;1
AZ;2018-2019;85540;85541;Academy of Building Industries, Inc.;Academy of Building Industries;0400414;040041402412;119; 09-12;4;119;October Count Day;18597,90098;1581,789613;20179,69059;2213150,217;188232,9639;2401383,181;1;1;1;1;0;1304,815149;14874,11032;276,9744633;3723,790661;16178,92547;4000,765124;0
AZ;2018-2019;90878;911531;Academy of Mathematics and Science South, Inc.;Academy of Math and Science Desert Sky;0400891;040089103581;948; KG-08;3;953;October Count Day;7233,181349;1217,298734;8450,480083;6893221,825;1160085,693;8053307,519;1;1;1;1;0;929,9191927;4556,702705;287,3795412;2676,478644;5486,621898;2963,858185;0
AZ;2018-2019;90878;92197;Academy of Mathematics and Science South, Inc.;Academy of Mathematics and Science South;0400891;040089103399;527; KG-08;3;529;October Count Day;8023,412988;883,8582323;8907,27122;4244385,471;467561,0049;4711946,475;1;1;1;1;0;700,3539133;5460,560687;183,504319;2562,852301;6160,9146;2746,35662;0
AZ;2018-2019;79961;79094;Academy of Mathematics and Science, Inc.;Academy of Math and Science;0400368;040036802037;528; KG-12;4;552;October Count Day;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1
AZ;2018-2019;92768;92769;Academy of Mathematics and Science, Inc.;Academy of Math and Science Camelback;0400940;040094003499;1132; KG-08;3;1135;October Count Day;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1
AZ;2018-2019;78897;81130;Academy of Tucson, Inc.;Academy of Tucson Elementary School;0400202;040020203141;214; KG-05;2;214;October Count Day;-25,56379782;-3,755869018;-29,31966684;-5470,652734;-803,7559698;-6274,408704;1;1;1;1;0;-3,755869018;-23,27649298;0;-2,28730484;-27,032362;-2,28730484;1
AZ;2018-2019;78897;78898;Academy of Tucson, Inc.;Academy of Tucson High School;0400202;040020201959;158; 09-12;4;158;October Count Day;-89,07540611;-13,08221281;-102,1576189;-14073,91417;-2066,989624;-16140,90379;1;1;1;1;0;-13,08221281;-81,10946022;0;-7,965945894;-94,19167303;-7,965945894;1
AZ;2018-2019;78897;79986;Academy of Tucson, Inc.;Academy of Tucson Middle School;0400202;040020202312;260; 05-08;3;260;October Count Day;72,32606721;10,62333671;82,94940392;18804,77747;2762,067546;21566,84502;1;1;1;1;0;10,62333671;65,85713991;0;6,468927301;76,48047662;6,468927301;1
AZ;2018-2019;79213;10795;Academy with Community Partners  Inc;Academy with Community Partners;0400276;040027601841;135; 09-12;4;135;October Count Day;6390,927888;864,3251673;7255,253055;862775,2648;116683,8976;979459,1624;1;1;1;1;0;650,7921926;4744,105577;213,5329747;1646,822311;5394,897769;1860,355285;0
AZ;2018-2019;6364;5891;Accelerated Elementary and Secondary Schools;Accelerated Learning Laboratory;0400129;040012901790;167; KG-12;4;167;October Count Day;-5483,585224;-501,4680074;-5985,053231;-915758,7324;-83745,15724;-999503,8896;1;1;1;1;0;-501,4680074;-5483,585224;0;0;-5985,053231;0;1
AZ;2018-2019;4297;5462;Accelerated Learning Center, Inc.;Accelerated Learning Center;0400121;040012101581;179; 09-12;4;179;October Count Day;7349,320713;0;7349,320713;1315528,408;0;1315528,408;1;1;1;1;0;0;5005,493834;0;2343,826879;5005,493834;2343,826879;0
AZ;2018-2019;4325;5496;Acclaim Charter School;ACCLAIM Academy;0400122;040012201585;370; KG-08;3;370;October Count Day;7193,844045;886,9276667;8080,771712;2661722,297;328163,2367;2989885,533;1;1;1;1;0;631,4867964;3957,407303;255,4408703;3236,436742;4588,8941;3491,877612;0
AZ;2018-2019;79437;79438;Acorn Montessori Charter School;Acorn Montessori Charter School;0400320;040032002227;352; 03-08;3;352;October Count Day;6323,451436;556,5761981;6880,027634;2225854,905;195914,8217;2421769,727;1;1;1;1;0;517,2749003;5041,378513;39,30129786;1282,072923;5558,653413;1321,374221;0
AZ;2018-2019;79437;88180;Acorn Montessori Charter School;Acorn Montessori Charter School, Inc. - West;0400320;040032002576;136; KG-02;2;136;October Count Day;10898,3161;959,2544326;11857,57053;1482170,99;130458,6028;1612629,593;1;1;1;1;0;891,5146539;8688,693224;67,73977867;2209,622878;9580,207878;2277,362657;0
AZ;2018-2019;4289;5454;Agua Fria Union High School District;Agua Fria High School;0400450;040045000001;1830; 09-12;4;1830;October Count Day;8359,619826;581,6674849;8941,287311;15298104,28;1064451,497;16362555,78;1;1;1;1;0;386,0524791;6743,682115;195,6150059;1615,937711;7129,734594;1811,552716;0
AZ;2018-2019;4289;932049;Agua Fria Union High School District;Canyon View High School;0400450;040045003559;449; 09-12;4;449;October Count Day;12077,30237;228,1884216;12305,4908;5422708,766;102456,6013;5525165,367;1;1;1;1;0;64,98809715;8386,694869;163,2003244;3690,607506;8451,682966;3853,80783;0
AZ;2018-2019;4289;79799;Agua Fria Union High School District;Desert Edge High School;0400450;040045002273;1647; 09-12;4;1647;October Count Day;8484,783455;382,47319;8867,256645;13974438,35;629933,3439;14604371,69;1;1;1;1;0;246,3649023;6763,170967;136,1082876;1721,612488;7009,535869;1857,720776;0
AZ;2018-2019;4289;78926;Agua Fria Union High School District;Millennium High School;0400450;040045001884;2136; 09-12;4;2136;October Count Day;8192,367523;234,5487266;8426,91625;17498897,03;500996,0799;17999893,11;1;1;1;1;0;94,89732522;6469,99326;139,6514013;1722,374263;6564,890585;1862,025665;0
AZ;2018-2019;4289;87903;Agua Fria Union High School District;Verrado High School;0400450;040045002592;1902; 09-12;4;1902;October Count Day;7843,730547;200,309071;8044,039618;14918775,5;380987,8531;15299763,35;1;1;1;1;0;55,27771412;6222,659393;145,0313569;1621,071153;6277,937108;1766,10251;0
AZ;2018-2019;4249;5187;Aguila Elementary District;Aguila Elementary School;0400480;040048000002;163; KG-08;3;163;October Count Day;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1
AZ;2018-2019;79053;79123;AIBT Non-Profit Charter High School - Phoenix;RCB Medical Arts Academy;0400274;040027402020;101; 07-12;4;101;October Count Day;7754,627999;1763,45283;9518,080829;783217,4279;178108,7359;961326,1637;1;1;1;1;0;972,7573035;3067,02389;790,6955269;4687,604109;4039,781193;5478,299636;0
AZ;2018-2019;449790;742847;AIBT Non-Profit Charter High School, Inc.;RCB College Preparatory Academy;0400970;040097003546;14; 09-12;4;14;October Count Day;4131,862135;0;4131,862135;57846,06989;0;57846,06989;1;1;1;1;0;0;3050,271157;0;1081,590978;3050,271157;1081,590978;1
AZ;2018-2019;4409;5831;Ajo Unified District;Ajo Elementary School;0400520;040052000003;317; PK-08;3;317;October Count Day;8704,508734;785,7079418;9490,216675;2759329,269;249069,4176;3008398,686;1;1;1;1;0;590,9194513;7281,166043;194,7884906;1423,34269;7872,085494;1618,131181;0
AZ;2018-2019;4409;6292;Ajo Unified District;Ajo High School;0400520;040052003063;135; 09-12;4;135;October Count Day;8704,508734;687,3078642;9391,816598;1175108,679;92786,56166;1267895,241;1;1;1;1;0;447,3626481;7281,166043;239,9452161;1423,34269;7728,528691;1663,287907;0
AZ;2018-2019;5978;10797;Akimel O Otham Pee Posh Charter School, Inc.;Akimel O'Otham Pee Posh (K-2);0400403;040040301989;NA; KG-02;2;16;October Count Day;393,3240099;1100,872425;1494,196435;6293,184159;17613,9588;23907,14296;1;1;1;1;0;615,943053;136,1139871;484,929372;257,2100228;752,0570401;742,1393948;1
AZ;2018-2019;78966;78967;Akimel O'Otham Pee Posh Charter School, Inc.;Akimel O'Otham Pee Posh (3-5);0400404;040040401993;12; 03-05;2;12;October Count Day;770,4158256;6066,911587;6837,327412;9244,989907;72802,93904;82047,92895;1;1;1;1;0;3436,253532;555,4864756;2630,658054;214,92935;3991,740008;2845,587404;1
AZ;2018-2019;4280;5381;Alhambra Elementary District;Alhambra Traditional School;0400600;040060001283;772; KG-08;3;772;October Count Day;6998,142247;1214,947726;8213,089974;5402565,815;937939,6448;6340505,46;1;1;1;1;0;734,6609967;6407,967381;480,2867297;590,1748664;7142,628378;1070,461596;0
AZ;2018-2019;4280;5384;Alhambra Elementary District;Barcelona Elementary School;0400600;040060000008;1316; PK-08;3;1316;October Count Day;7110,051519;2601,477521;9711,52904;9356827,799;3423544,417;12780372,22;1;1;1;1;0;1979,61041;6600,021201;621,8671109;510,0303185;8579,63161;1131,897429;0
AZ;2018-2019;4280;6030;Alhambra Elementary District;Carol G. Peck Elementary School;0400600;040060001707;680; KG-08;3;680;October Count Day;7776,777303;2278,356833;10055,13414;5288208,566;1549282,647;6837491,213;1;1;1;1;0;1564,899083;7168,919378;713,4577504;607,857925;8733,818461;1321,315675;0
AZ;2018-2019;4280;5385;Alhambra Elementary District;Catalina Ventura School;0400600;040060000009;1111; KG-08;3;1111;October Count Day;6764,621035;2081,217116;8845,838151;7515493,97;2312232,216;9827726,186;1;1;1;1;0;1484,425673;6242,919939;596,7914436;521,7010962;7727,345612;1118,49254;0
AZ;2018-2019;4280;5386;Alhambra Elementary District;Cordova Elementary School;0400600;040060000010;941; PK-08;3;941;October Count Day;7157,498993;2339,335243;9496,834236;6735206,552;2201314,464;8936521,016;1;1;1;1;0;1654,121319;6551,864101;685,2139247;605,6348923;8205,985419;1290,848817;0
AZ;2018-2019;4280;5387;Alhambra Elementary District;Granada Elementary School-East Campus;0400600;040060000012;1057; 04-08;3;1057;October Count Day;6631,416536;1560,238116;8191,654652;7009407,279;1649171,689;8658578,968;1;1;1;1;0;1064,793211;6128,67115;495,4449047;502,7453868;7193,464361;998,1902915;0
AZ;2018-2019;4280;5388;Alhambra Elementary District;Granada Elementary School-West Campus;0400600;040060001486;1131; PK-04;2;1131;October Count Day;6736,057612;2528,429105;9264,486717;7618481,159;2859653,318;10478134,48;1;1;1;1;0;1786,464772;6168,762518;741,9643333;567,2950945;7955,227289;1309,259428;0
