state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_CA;enrollmetric;pp_stloc_raw_CA;pp_fed_raw_CA;pp_total_raw_CA;pp_site_stloc_raw_CA;pp_site_fed_raw_CA;pp_site_raw_CA;pp_centshare_stloc_raw_CA;pp_centshare_fed_raw_CA;pp_centshare_raw_CA;schoolstloc_raw_CA;schoolfed_raw_CA;schooltot_raw_CA;countenroll;noaudit;nositecen;adfinvars;distflex;charter_CA;distexclu_raw_CA;disttotwexclu_raw_CA;flag_NERDS
CA;2018-2019;19642120000000;19642121995596;ABC Unified;ABC Secondary (Alternative);0601620;060162010232;82; 07-12;4;82;CALPADS Fall 1 Submission enrollment;8965;919;9884;4017;0;4017;4948;919;5867;735130;75358;810488;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126010862;ABC Unified;Aloha Elementary;0601620;060162000001;356; KG-06;2;356;CALPADS Fall 1 Submission enrollment;11295;1189;12484;6281;228;6509;5014;961;5975;4021020;423284;4444304;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642121930361;ABC Unified;Artesia High;0601620;060162000002;1431; 09-12;4;1431;CALPADS Fall 1 Submission enrollment;12494;1060;13554;7310;99;7409;5184;961;6145;17878914;1516860;19395774;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126071369;ABC Unified;Bragg Elementary;0601620;060162000004;655; KG-06;2;654;CALPADS Fall 1 Submission enrollment;10001;919;10920;5294;0;5294;4707;919;5626;6540654;601026;7141680;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126010953;ABC Unified;Burbank (Luther) Elementary;0601620;060162000005;514; KG-06;2;514;CALPADS Fall 1 Submission enrollment;10918;1190;12108;6187;229;6416;4731;961;5692;5611852;611660;6223512;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126066708;ABC Unified;Carmenita Middle;0601620;060162000007;679; 07-08;3;679;CALPADS Fall 1 Submission enrollment;10643;919;11562;5755;0;5755;4888;919;5807;7226597;624001;7850598;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126010904;ABC Unified;Carver (Charles J.) Elementary;0601620;060162000008;618; KG-06;2;618;CALPADS Fall 1 Submission enrollment;10059;1046;11105;5330;85;5415;4729;961;5690;6216462;646428;6862890;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126068274;ABC Unified;Cerritos Elementary;0601620;060162000009;673; KG-06;2;673;CALPADS Fall 1 Submission enrollment;10079;919;10998;5427;0;5427;4652;919;5571;6783167;618487;7401654;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642121930056;ABC Unified;Cerritos High;0601620;060162000010;2177; 09-12;4;2177;CALPADS Fall 1 Submission enrollment;11278;919;12197;6326;0;6326;4952;919;5871;24552206;2000663;26552869;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126010987;ABC Unified;Elliott (William F) Elementary;0601620;060162000011;541; KG-06;2;540;CALPADS Fall 1 Submission enrollment;10200;1155;11355;5486;194;5680;4714;961;5675;5508000;623700;6131700;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126061238;ABC Unified;Fedde (Pharis F.) Middle;0601620;060162000020;432; 07-08;3;432;CALPADS Fall 1 Submission enrollment;12510;1421;13931;7214;460;7674;5296;961;6257;5404320;613872;6018192;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126010979;ABC Unified;Furgeson (Venn W.) Elementary;0601620;060162000013;379; KG-06;2;379;CALPADS Fall 1 Submission enrollment;12276;1425;13701;7119;464;7583;5157;961;6118;4652604;540075;5192679;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642121933159;ABC Unified;Gahr (Richard) High;0601620;060162000014;1927; 09-12;4;1927;CALPADS Fall 1 Submission enrollment;11720;998;12718;6712;37;6749;5008;961;5969;22584440;1923146;24507586;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126085617;ABC Unified;Gonsalves (Joe A.) Elementary;0601620;060162000015;642; KG-06;2;642;CALPADS Fall 1 Submission enrollment;9915;919;10834;5220;0;5220;4695;919;5614;6365430;589998;6955428;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126061220;ABC Unified;Haskell (Pliny Fisk) Middle;0601620;060162000016;556; 07-08;3;556;CALPADS Fall 1 Submission enrollment;11127;1126;12253;6135;165;6300;4992;961;5953;6186612;626056;6812668;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126010920;ABC Unified;Hawaiian Elementary;0601620;060162000017;348; KG-06;2;347;CALPADS Fall 1 Submission enrollment;12651;1375;14026;7411;414;7825;5240;961;6201;4389897;477125;4867022;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126071351;ABC Unified;Juarez (Benito) Elementary;0601620;060162000018;339; KG-06;2;339;CALPADS Fall 1 Submission enrollment;11798;1239;13037;6716;278;6994;5082;961;6043;3999522;420021;4419543;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126010938;ABC Unified;Kennedy (John F.) Elementary;0601620;060162000019;459; KG-06;2;459;CALPADS Fall 1 Submission enrollment;11042;1167;12209;6127;206;6333;4915;961;5876;5068278;535653;5603931;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126085609;ABC Unified;Leal (Frank C.) Elementary;0601620;060162000021;766; KG-06;2;766;CALPADS Fall 1 Submission enrollment;9687;919;10606;5028;0;5028;4659;919;5578;7420242;703954;8124196;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126010912;ABC Unified;Melbourne (Ella P.) Elementary;0601620;060162000022;458; KG-06;2;458;CALPADS Fall 1 Submission enrollment;11973;1270;13243;6787;309;7096;5186;961;6147;5483634;581660;6065294;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126010946;ABC Unified;Niemes (John H.) Elementary;0601620;060162000023;675; KG-06;2;675;CALPADS Fall 1 Submission enrollment;10794;1246;12040;6029;285;6314;4765;961;5726;7285950;841050;8127000;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126093454;ABC Unified;Nixon (Patricia) Elementary;0601620;060162000024;785; KG-06;2;785;CALPADS Fall 1 Submission enrollment;10146;919;11065;5522;0;5522;4624;919;5543;7964610;721415;8686025;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126010961;ABC Unified;Palms Elementary;0601620;060162000025;657; KG-06;2;657;CALPADS Fall 1 Submission enrollment;10096;1218;11314;5410;257;5667;4686;961;5647;6633072;800226;7433298;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126057442;ABC Unified;Ross (Faye) Middle;0601620;060162000012;635; 07-08;3;635;CALPADS Fall 1 Submission enrollment;10996;1121;12117;6091;160;6251;4905;961;5866;6982460;711835;7694295;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126066716;ABC Unified;Stowers(Cecil B.) Elementary;0601620;060162000026;670; KG-06;2;670;CALPADS Fall 1 Submission enrollment;9688;919;10607;4958;0;4958;4730;919;5649;6490960;615730;7106690;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642126057459;ABC Unified;Tetzlaff (Martin B.) Middle;0601620;060162000027;646; 07-08;3;646;CALPADS Fall 1 Submission enrollment;11058;919;11977;6123;0;6123;4935;919;5854;7143468;593674;7737142;1;0;0;0;1;N/A;30576001;275922014;1
CA;2018-2019;19642120000000;19642121931641;ABC Unified;Tracy (Wilbur) High (Continuation);0601620;060162000028;239; 09-12;4;239;CALPADS Fall 1 Submission enrollment;16078;992;17070;11007;31;11038;5071;961;6032;3842642;237088;4079730;1;0;0;0;1;N/A;30576001;275922014;0
