state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_CT;enrollmetric;pp_stloc_raw_CT;pp_fed_raw_CT;pp_total_raw_CT;schoolstloc_raw_CT;schoolfed_raw_CT;schooltot_raw_CT;countenroll;noaudit;nositecen;adfinvars;distflex;site_tot_raw_CT;pp_site_private_raw_CT;pp_cent_private_raw_CT;ppsitestloc_operational_CT;ppcentstloc_operational_CT;pptotstloc_operational_CT;schoolstloc_operational_CT;schooltot_operational_CT;flag_NERDS
CT;2018-2019;2850013;2850113;Achievement First Bridgeport Academy District;Achievement First Bridgeport Academy;0900208;090020801493;1093; KG-12;4;1093;October Count Day;11580;511;12249;12656940;558523;13215463;1;0;1;0;0;11883014;158;0;10361;1377;11738;12829634;13388157;0
CT;2018-2019;2880013;2880113;Achievement First Hartford Academy District;Achievement First Hartford Academy;0900212;090021201528;1112; KG-12;4;1112;October Count Day;12979;762;13868;14432648;847344;15279992;1;0;1;0;0;13841389;126;0;11685;1420;13105;14572760;15420104;0
CT;2018-2019;2790013;2795113;Amistad Academy District;Amistad Academy;0900024;090002400981;1083; KG-12;4;1083;October Count Day;11528;567;12250;12484824;614061;13098885;1;0;1;0;0;11834129;119;35;10360;1322;11682;12651606;13265667;0
CT;2018-2019;10011;10111;Andover School District;Andover Elementary School;0900030;090003010001;191; PK-06;2;191;October Count Day;22725;639;23365;4340475;122049;4462524;1;0;1;0;0;4000343;0;0;20306;2419;22725;4340475;4462524;0
CT;2018-2019;20011;26111;Ansonia School District;Ansonia High School;0900060;090006010002;565; 09-12;4;565;October Count Day;18125;900;19054;10240625;508500;10749125;1;0;1;0;0;7716550;0;30;12902;5253;18155;10257575;10766075;0
CT;2018-2019;20011;25111;Ansonia School District;Ansonia Middle School;0900060;090006010008;335; 07-08;3;335;October Count Day;14243;877;15150;4771405;293795;5065200;1;0;1;0;0;3267213;0;30;9020;5253;14273;4781455;5075250;0
CT;2018-2019;20011;20311;Ansonia School District;Mead School;0900060;090006000005;634; PK-06;2;634;October Count Day;12439;876;13347;7886326;555384;8441710;1;0;1;0;0;5040799;2;30;7218;5253;12471;7906614;8461998;0
CT;2018-2019;20011;20811;Ansonia School District;Prendergast School;0900060;090006001020;644; KG-06;2;644;October Count Day;12662;876;13568;8154328;564144;8718472;1;0;1;0;0;5262484;0;30;7439;5253;12692;8173648;8737792;0
CT;2018-2019;2440014;2445114;Area Cooperative Educational Services;Thomas Edison Magnet Middle School;0900070;090007001358;709; 06-08;3;709;October Count Day;19922;545;20617;14124698;386405;14511103;1;0;1;0;0;10317728;0;150;14124;5948;20072;14231048;14617453;0
CT;2018-2019;2440014;2440314;Area Cooperative Educational Services;Wintergreen Interdistrict  Magnet School;0900070;090007000884;564; KG-08;3;564;October Count Day;21916;628;22694;12360624;354192;12714816;1;0;1;0;0;9379271;0;150;16118;5948;22066;12445224;12799416;0
CT;2018-2019;30011;30111;Ashford School District;Ashford School;0900090;090009000010;409; PK-08;3;409;October Count Day;18516;631;19169;7573044;258079;7831123;1;0;1;0;0;6791165;22;0;15973;2565;18538;7582042;7840121;0
CT;2018-2019;40011;46111;Avon School District;Avon High School;0900120;090012000011;951; 09-12;4;951;October Count Day;19459;191;19651;18505509;181641;18687150;1;0;1;0;0;16970659;1;0;17656;1804;19460;18506460;18688101;0
