state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_ND;enrollmetric;pp_stloc_raw_ND;pp_fed_raw_ND;pp_total_raw_ND;schoolstloc_raw_ND;schoolfed_raw_ND;schooltot_raw_ND;countenroll;noaudit;nositecen;adfinvars;distflex;flag_NERDS
ND;2018-2019;27002;03151;Alexander Public School District;Alexander Elementary School;3801760;380176000003;172; PK-06;2;146;September Count;10875,77;297,22;11172,99;1587862,42;43394,12;1631256,54;1;0;1;0;0;0
ND;2018-2019;27002;03153;Alexander Public School District;Alexander High School;3801760;380176000004;96; 07-12;4;96;September Count;10875,77;297,22;11172,99;1044073,92;28533,12;1072607,04;1;0;1;0;0;0
ND;2018-2019;25014;03891;Anamoose Public School District;Anamoose Elementary School;3801950;380195000007;85; PK-06;2;85;September Count;12913,78;2006,68;14920,47;1097671,3;170567,8;1268239,95;1;0;1;0;0;0
ND;2018-2019;08039;04861;Apple Creek Public School District;Apple Creek Elementary School;3802014;380201400012;52; PK-06;2;52;September Count;14453,46;45,82;14499,28;751579,92;2382,64;753962,56;1;0;1;0;0;0
ND;2018-2019;26009;05391;Ashley Public School District;Ashley Elementary School;3802170;380217000013;73; PK-06;2;69;September Count;12709,56;463,64;13173,21;876959,64;31991,16;908951,49;1;0;1;0;0;0
ND;2018-2019;26009;05393;Ashley Public School District;Ashley High School;3802170;380217000014;70; 07-12;4;70;September Count;12709,56;463,64;13173,21;889669,2;32454,8;922124,7;1;0;1;0;0;0
ND;2018-2019;15010;07721;Bakker Public School District;Bakker Elementary School;3802240;380224000016;11; KG-08;3;11;September Count;23065,44;0;23065,44;253719,84;0;253719,84;1;0;1;0;0;0
ND;2018-2019;02007;94631;Barnes County North Public School District;Barnes County North Elementary School;3800060;380006000701;179; PK-08;3;153;September Count;10624,62;382,25;11006,87;1625566,86;58484,25;1684051,11;1;0;1;0;0;0
ND;2018-2019;02007;94633;Barnes County North Public School District;Barnes County North High School;3800060;380006000702;82; 09-12;4;82;September Count;10624,62;382,25;11006,87;871218,84;31344,5;902563,34;1;0;1;0;0;0
ND;2018-2019;17003;08503;Beach Public School District;Beach High School;3802380;380238000023;143; 07-12;4;143;September Count;15458,37;0;15458,37;2210546,91;0;2210546,91;1;0;1;0;0;0
