state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_NY;enrollmetric_raw_NY;pp_stloc_raw_NY;pp_fed_raw_NY;pp_total_raw_NY;schoolfed_raw_NY;schoolstloc_raw_NY;schooltot_raw_NY;countenroll;noaudit;nositecen;adfinvars;distflex;distenroll_raw_NY;PK_raw_NY;PKdist_raw_NY;NUM_ELL_dist_raw_NY;NUM_ELL_raw_NY;NUM_SWD_raw_NY;NUM_SWD_dist_raw_NY;pp_total_operational_NY;pp_site_fed_raw_NY;pp_site_stloc_raw_NY;pp_site_raw_NY;pp_centshare_fed_raw_NY;pp_centshare_stloc_raw_NY;pp_centshare_raw_NY;distexclu_transport_raw_NY;distexclu_chartertuition_raw_NY;distexclu_otution_raw_NY;distexclu_debtservice_raw_NY;distexclu_ototal_raw_NY;distexclu_raw_NY;pp_classroomsalary_site_raw_NY;pp_oinstructsalary_site_raw_NY;pp_instruct_benefit_site_raw_NY;pp_pd_site_raw_NY;pp_instruction_site_raw_NY;pp_adminsalary_site_raw_NY;pp_adminbenefit_site_raw_NY;pp_oadmin_site_raw_NY;pp_admin_site_raw_NY;pp_osalary_site_raw_NY;pp_obenefit_site_raw_NY;ppnonpersonnel_site_raw_NY;pp_ototal_site_raw_NY;pp_fed_TI_site_raw_NY;pp_fed_TII_site_raw_NY;pp_fed_TIII_site_raw_NY;pp_fed_TIV_site_raw_NY;pp_IDEA_site_raw_NY;pp_sped_site_op_NY;pp_ell_site_op_NY;pp_ofed_site_raw_NY;pp_pupilservice_site_raw_NY;pp_communityschools_site_raw_NY;pp_BOCES_site_raw_NY;pp_prek_site_op_NY;pp_sped_site_raw_NY;pp_ell_site_raw_NY;pp_prek_site_raw_NY;pp_sped_centshare_op_NY;pp_ell_centshare_op_NY;pp_pupilservice_centshare_raw_NY;pp_commsch_centshare_raw_NY;pp_BOSCES_centshare_raw_NY;pp_preK_centshare_op_NY;pp_sped_centshare_raw_NY;pp_ell_centshare_raw_NY;pp_preK_centshare_raw_NY;ppclassrmslry_centshare_raw_NY;pp_oinstslry_centshare_raw_NY;pp_instbnfit_centshare_raw_NY;pp_pd_centshare_raw_NY;pp_instruction_centshare_raw_NY;pp_adminsalary_centshare_raw_NY;pp_adminbenefit_centshare_raw_NY;pp_oadmin_centshare_raw_NY;pp_admin_centshare_raw_NY;pp_osalary_centshare_raw_NY;pp_obenefit_centshare_raw_NY;ppnonpersonnel_centshare_raw_NY;pp_ototal_centshare_raw_NY;disttotwexclu_raw_NY;charterauthorizer_raw_NY;flag_NERDS
NY;2018-2019;57010104;0002;ADDISON CENTRAL SCHOOL DISTRICT;ADDISON HIGH SCHOOL;3602370;360237000007;563;06- 12;4;563;October Count Day;19911,18945;1733,881836;21645,07031;976175,5;11210000;12186175;1;0;0;1;0;1095;0;77;2;2;69;143;21645,07031;696,6216431;14048,33203;14744,9541;1037,260254;5862,857422;6228,909668;1523818;24336;1579490;2631701;2901503;8660848;6815,145508;1161,339233;1780,302002;69,55062103;9826,337891;622,4334106;138,944931;11,66429806;773,0426025;234,5754852;52,36412048;3162,012451;3448,952148;414,0497437;43,02486801;0;65,57726288;173,9698029;1095,776245;0;0;1018,410278;77,5364151;1680,341064;0;8940,898438;0;NA;2732,567139;0;815,2858276;16,69041061;3197,515869;398,43927;20924,20313;0;5666,116699;0;44,16803741;375,9114075;7,690411091;427,7698669;1118,521484;249,6849365;209,0328827;1577,239258;328,1123352;73,24383545;3822,544189;4223,900391;40646320;NA;0
NY;2018-2019;57010104;0001;ADDISON CENTRAL SCHOOL DISTRICT;TUSCARORA ELEMENTARY SCHOOL;3602370;360237000008;455;KG- 05;2;455;October Count Day;17528,72656;2526,998535;20055,72461;1149784,375;7975570;9125355;1;0;0;1;0;1095;0;77;2;0;74;143;20055,72461;1489,738403;11665,86816;13155,60645;1037,260254;5862,857422;6228,909668;1523818;24336;1579490;2631701;2901503;8660848;7331,14502;413,5098877;1728,822021;66,0065918;9539,483398;395,2966919;88,15384674;13,56483555;497,0153809;504,305481;112,5758209;1012,487915;1629,369263;835,9077148;53,23955917;0;6,54285717;373,0571289;1198,415405;0;220,9912109;607,652771;56,23516464;374,8439636;0;7368,635254;NA;NA;2732,567139;0;815,2858276;16,69041061;3197,515869;398,43927;20924,20313;0;5666,116699;0;44,16803741;375,9114075;7,690411091;427,7698669;1118,521484;249,6849365;209,0328827;1577,239258;328,1123352;73,24383545;3822,544189;4223,900391;40646320;NA;0
NY;2018-2019;57010104;0003;ADDISON CENTRAL SCHOOL DISTRICT;VALLEY ELEMENTARY SCHOOL;3602370;360237000009;61;PK- PK;1;61;October Count Day;29076,26758;2115,44043;31191,70703;129041,875;1773652,375;1902694,125;1;0;0;1;0;1095;61;77;2;0;0;143;31191,70703;1078,180298;23213,41016;24291,58984;1037,260254;5862,857422;6228,909668;1523818;24336;1579490;2631701;2901503;8660848;12129,22949;631,295105;2848,508301;455,1639404;16064,19629;1324,360596;295,6393433;94,06557465;1714,065552;1207,885254;269,6393433;3957,623047;5435,147461;0;397,0983582;0;48,80327988;632,2786865;1650,491821;0;0;703,1311646;573,7377319;242,0327911;13921,06543;NA;NA;13921,06543;2732,567139;0;815,2858276;16,69041061;3197,515869;398,43927;20924,20313;0;5666,116699;0;44,16803741;375,9114075;7,690411091;427,7698669;1118,521484;249,6849365;209,0328827;1577,239258;328,1123352;73,24383545;3822,544189;4223,900391;40646320;NA;0
NY;2018-2019;41040106;0005;ADIRONDACK CENTRAL SCHOOL DISTRICT;ADIRONDACK HIGH SCHOOL;3605040;360504000241;359;09- 12;4;359;October Count Day;18578,26953;521,718689;19099,98828;187297,0156;6669599;6856896;1;0;0;1;0;1219;0;49;1;0;46;173;19099,98828;521,718689;12640,19922;13161,91797;0;5938,071289;5938,071289;2461670.32;0;296696.22;1982356.09;1824776.14;6565498,77;5796,304199;514,8987427;2790,873779;0;9102,077148;1012,504028;447,7388611;19,2949028;1479,53772;784,5684204;346,9436035;1448,791016;2580,302979;49,1392746;34,43175507;0;0;438,147644;1186,381958;0;0;788,8712769;0;17,12141991;0;9258,9375;NA;NA;0;0;146,5354767;0;704,4212036;0;0;0;0;0;137,8495331;60,95836639;0;198,8079071;1177,911743;520,883728;0,106144384;1698,901611;0;2233,785889;1806,575806;4040,361816;36139900;NA;0
NY;2018-2019;41040106;0001;ADIRONDACK CENTRAL SCHOOL DISTRICT;ADIRONDACK MIDDLE SCHOOL;3605040;360504004187;285;06- 08;3;285;October Count Day;19127,80469;407,5578918;19535,36328;116154;5451424;5567578,5;1;0;0;1;0;1219;0;49;1;0;49;173;19535,36328;407,5578918;13189,73242;13597,29004;0;5938,071289;5938,071289;2461670.32;0;296696.22;1982356.09;1824776.14;6565498,77;6395,024414;597,7217407;3092,258789;0;10085,00488;816,3485718;360,9970398;10,02670193;1187,372314;622,6987915;275,3633118;1426,850586;2324,912598;254,6105194;48,89824677;0;0;104,0491257;1290,752686;0;0;890,4694214;0;17,34059715;0;7507,438965;NA;NA;0;0;146,5354767;0;704,4212036;0;0;0;0;0;137,8495331;60,95836639;0;198,8079071;1177,911743;520,883728;0,106144384;1698,901611;0;2233,785889;1806,575806;4040,361816;36139900;NA;0
NY;2018-2019;41040106;0004;ADIRONDACK CENTRAL SCHOOL DISTRICT;BOONVILLE ELEMENTARY SCHOOL;3605040;360504000242;357;PK- 05;2;357;October Count Day;16538,66016;1134,739502;17673,40039;405102;5904302;6309404;1;0;0;1;0;1219;34;49;1;1;54;173;17673,40039;1134,739502;10600,58984;11735,3291;0;5938,071289;5938,071289;2461670.32;0;296696.22;1982356.09;1824776.14;6565498,77;5302,55957;246,8896637;2454,019043;0;8003,468262;622,9935913;275,4936829;9,638767242;908,1260376;901,571167;398,6833191;1523,47998;2823,734375;527,1288452;41,29131699;0;0;312,8963623;1933,604126;0;253,4229736;425,2124329;0;17,71350098;0;12783,27148;0;0;0;0;146,5354767;0;704,4212036;0;0;0;0;0;137,8495331;60,95836639;0;198,8079071;1177,911743;520,883728;0,106144384;1698,901611;0;2233,785889;1806,575806;4040,361816;36139900;NA;0
NY;2018-2019;41040106;0003;ADIRONDACK CENTRAL SCHOOL DISTRICT;FORESTPORT ELEMENTARY SCHOOL;3605040;360504000243;NA;NA;.;79;October Count Day;22088,92969;199,5696259;22288,5;15766;1745025,375;1760791,5;1;0;0;1;0;1219;0;49;1;0;7;173;22288,5;199,5696259;16150,85742;16350,42773;0;5938,071289;5938,071289;2461670.32;0;296696.22;1982356.09;1824776.14;6565498,77;6998,397949;1071,206177;3568,455322;0;11638,05957;1825,792603;807,3828125;6,719747066;2639,895264;515,8387451;228,1087341;1328,525146;2072,472656;14,63291168;135,8354492;0;0;49,10126495;474,4579773;0;0;1264,593994;0;17,71354485;0;5354,597168;NA;NA;0;0;146,5354767;0;704,4212036;0;0;0;0;0;137,8495331;60,95836639;0;198,8079071;1177,911743;520,883728;0,106144384;1698,901611;0;2233,785889;1806,575806;4040,361816;36139900;NA;0
NY;2018-2019;41040106;0002;ADIRONDACK CENTRAL SCHOOL DISTRICT;WEST LEYDEN ELEMENTARY SCHOOL;3605040;360504000244;139;PK- 05;2;139;October Count Day;17246,70313;841,2949829;18087,99805;116940;2397291,75;2514231,75;1;0;0;1;0;1219;15;49;1;0;17;173;18087,99805;841,2949829;11308,63281;12149,92773;0;5938,071289;5938,071289;2461670.32;0;296696.22;1982356.09;1824776.14;6565498,77;5892,97168;634,2200928;2886,385986;0;9413,578125;548,8511353;242,7071991;10,3812952;801,9396362;331,313385;146,5099335;1456,587036;1934,4104;460,3237305;76,48201752;0;0;27,90647507;0;0;276,5827332;808,7625732;0;17,97043228;0;0;NA;0;0;0;146,5354767;0;704,4212036;0;0;0;0;0;137,8495331;60,95836639;0;198,8079071;1177,911743;520,883728;0,106144384;1698,901611;0;2233,785889;1806,575806;4040,361816;36139900;NA;0
NY;2018-2019;08010104;0002;AFTON CENTRAL SCHOOL DISTRICT;AFTON ELEMENTARY SCHOOL;3602400;360240000010;282;PK- 05;2;282;October Count Day;20841,80469;793,7957153;21635,59961;223850,3906;5877388,5;6101239;1;0;0;1;0;529;21;21;0;0;36;73;21635,59961;678,2588501;12315,07129;12993,33008;115,5368652;8526,732422;8642,269531;812429;0;4206;957284;1104417.32;2878336,32;5069,127441;145,7553253;2464,751709;0;7679,634766;213,4893646;100,9042587;76,90425873;391,2978821;2027,354614;958,2056885;1936,836914;4922,396973;0;12,43262386;0;3,698581457;244,6666718;3401,163086;0;417,4609985;861,6418457;0;162,0709229;343,627655;26642,44531;NA;4614,428711;1646,958374;0;722,7920532;0;2526,444336;0;11934,80859;NA;0;1122,436646;361,5444336;701,3856201;0;2185,366699;1445,591675;683,2419434;0;2128,83374;0;279,6610107;4048,408203;4328,069336;18431992;NA;0
NY;2018-2019;08010104;0003;AFTON CENTRAL SCHOOL DISTRICT;AFTON JUNIOR/SENIOR HIGH SCHOOL;3602400;360240000011;247;06- 12;4;247;October Count Day;25067,17383;1548,536865;26615,71094;382488,5938;6191592;6574080,5;1;0;0;1;0;529;0;21;0;0;37;73;26615,71094;1433;16540,44141;17973,44141;115,5368652;8526,732422;8642,269531;812429;0;4206;957284;1104417.32;2878336,32;6315,858398;1649,137695;3764,558594;0;11729,55469;805,4412842;380,6801758;113,7085037;1299,829956;669,3157959;316,3441162;3958,396729;4944,056641;658,6315918;14,19433212;0;4,218623638;279,3400879;1534,327881;0;476,615387;3125,068848;0;1780,825928;0;10242,67578;NA;NA;1646,958374;0;722,7920532;0;2526,444336;0;11934,80859;NA;0;1122,436646;361,5444336;701,3856201;0;2185,366699;1445,591675;683,2419434;0;2128,83374;0;279,6610107;4048,408203;4328,069336;18431992;NA;0
NY;2018-2019;14210104;0001;AKRON CENTRAL SCHOOL DISTRICT;AKRON ELEMENTARY SCHOOL;3602430;360243000012;571;PK- 05;2;571;October Count Day;16829,76563;753,1523438;17582,91797;430050;9609796;10039846;1;0;0;1;0;1388;24;57;3;3;74;165;17582,91797;753,1523438;12474,27832;13227,43066;0;4355,487793;4355,486816;1749292;20000;1086361;0;5128447;7984100;6685,815918;750,0612793;3271,53418;0;10707,41113;702,609436;309,1243286;6,304728508;1018,038513;483,5271301;212,7355499;805,7197876;1501,982544;308,1243286;81,21716309;0;36,49386978;211,1401062;7205,148926;0;116,1768799;1521,705811;0;125,3922958;0;55596,48828;0;0;1144,557617;0;283,8306885;0;842,0648193;0;9628,157227;0;0;0;103,8904877;45,70821381;0;149,5987091;1417,296143;623,5619507;7,420749187;2048,278809;0;13,19308376;2144,416504;2157,609619;40930344;NA;0
NY;2018-2019;14210104;0002;AKRON CENTRAL SCHOOL DISTRICT;AKRON HIGH SCHOOL;3602430;360243000013;442;09- 12;4;442;October Count Day;19428,77539;145,4434357;19574,21875;64286;8587519;8651805;1;0;0;1;0;1388;0;57;3;0;52;165;19574,21875;145,4434357;15073,28711;15218,73047;0;4355,487793;4355,486816;1749292;20000;1086361;0;5128447;7984100;7193,739746;747,5882568;3493,914063;0;11435,24219;700,2941284;308,1063232;3,393665075;1011,794128;447,7760315;197,0067902;2126,911865;2771,69458;6,651583672;0;0;0;138,7918549;7667,963867;0;0;1531,925293;0;1348,495483;0;65177,69141;NA;NA;1144,557617;0;283,8306885;0;842,0648193;0;9628,157227;0;0;0;103,8904877;45,70821381;0;149,5987091;1417,296143;623,5619507;7,420749187;2048,278809;0;13,19308376;2144,416504;2157,609619;40930344;NA;0
NY;2018-2019;14210104;0003;AKRON CENTRAL SCHOOL DISTRICT;AKRON MIDDLE SCHOOL;3602430;360243005012;342;06- 08;3;342;October Count Day;17173,30859;741,2046509;17914,51367;253491,9844;5873271,5;6126763,5;1;0;0;1;0;1388;0;57;3;0;39;165;17914,51367;741,2046509;12817,82129;13559,02637;0;4355,487793;4355,486816;1749292;20000;1086361;0;5128447;7984100;6946,423828;754,897644;3388,321533;0;11089,64355;707,1403809;311,1169739;9,649123192;1027,906372;430,0175476;189,1929779;822,2660522;1441,476563;188,5438538;0;0;0;473,3216248;7397,160645;0;79,33917999;1513,777832;0;126,2017517;0;64867,41016;NA;NA;1144,557617;0;283,8306885;0;842,0648193;0;9628,157227;0;0;0;103,8904877;45,70821381;0;149,5987091;1417,296143;623,5619507;7,420749187;2048,278809;0;13,19308376;2144,416504;2157,609619;40930344;NA;0
