state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_OH;enrollmetric;pp_stloc_raw_OH;pp_fed_raw_OH;pp_total_raw_OH;pp_site_stloc_raw_OH;pp_site_fed_raw_OH;pp_site_raw_OH;pp_centshare_stloc_raw_OH;pp_centshare_fed_raw_OH;pp_centshare_raw_OH;schoolstloc_raw_OH;schoolfed_raw_OH;schooltot_raw_OH;countenroll;noaudit;nositecen;adfinvars;distflex;pp_weightedenroll_raw_OH;site_total_fed_raw_OH;site_total_stloc_raw_OH;pp_centshare_total_operational_OH;pp_site_fed_operational_OH;pp_site_stloc_operational_OH;pp_site_total_operational_OH;pp_total_operational_OH;schooltot_operational_OH;flag_NERDS
OH;2018-2019;000556;000556;A+ Arts Academy;A+ Arts Academy;3900305;390030504842;701; KG-08;3;NA;Weighted Enrollment;NA;NA;NA;4915;785,4;5700,4;NA;NA;NA;NA;NA;NA;0;0;0;0;0;910,0403913;714771,88;4472845,33;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;013232;013232;A+ Children's Academy;A+ Children's Academy;3901480;390148005718;130; KG-05;2;NA;Weighted Enrollment;NA;NA;NA;5871,7;794,3;6666;NA;NA;NA;NA;NA;NA;0;0;0;0;0;188,976158;150111,88;1109604,11;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;013249;013249;Academy for Urban Scholars Youngstown;Academy for Urban Scholars Youngstown;3901472;390147205727;207; 09-12;4;NA;Weighted Enrollment;NA;NA;NA;5336,5;676,8;6013,3;NA;NA;NA;NA;NA;NA;0;0;0;0;0;272,0404763;184121,48;1451751,01;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;013195;013195;Academy of Educational Excellence;Academy of Educational Excellence;3901502;390150205733;140; KG-06;2;NA;Weighted Enrollment;NA;NA;NA;6800,2;898,1;7698,3;NA;NA;NA;NA;NA;NA;0;0;0;0;0;180,1314157;161772,02;1224922,19;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;017212;017212;Academy of Junior Scholars;Academy of Junior Scholars;3901601;390160105988;32; KG-08;3;NA;Weighted Enrollment;NA;NA;NA;6921;0;6921;NA;NA;NA;NA;NA;NA;0;0;0;0;0;38,97008858;0;269711,69;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;011507;011507;Achieve Career Preparatory Academy;Achieve Career Preparatory Academy;3901362;390136205524;158; 09-12;4;NA;Weighted Enrollment;NA;NA;NA;5891,7;615,4;6507,1;NA;NA;NA;NA;NA;NA;0;0;0;0;0;223,5670826;137589,07;1317197,06;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;017275;017275;AchievePoint Career Academy - Cincinnati;AchievePoint Career Academy - Cincinnati;3901602;390160205984;72; 09-12;4;NA;Weighted Enrollment;NA;NA;NA;8140,3;776,4;8916,7;NA;NA;NA;NA;NA;NA;0;0;0;0;0;77,85058479;60440,47;633730,68;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;017280;017280;AchievePoint Career Academy - Columbus;AchievePoint Career Academy - Columbus;3901607;390160705966;NA; NA;NA;NA;Weighted Enrollment;NA;NA;NA;8665,3;264,9;8930,2;NA;NA;NA;NA;NA;NA;0;0;0;0;0;45,87870561;12154,06;397551,09;NA;NA;NA;NA;NA;NA;1
OH;2018-2019;045187;000059;Ada Exempted Village;Ada Elementary School;3904518;390451802112;464; PK-06;2;470,98142;Weighted Enrollment;NA;NA;9548,322607;8243,7;346,2;8589,9;NA;NA;958,4226071;NA;NA;4497082,54;0;0;0;0;0;556,6045355;192715,81;4588466,82;1132,661178;409,1792199;9742,352087;10151,53131;11109,95391;5232581,87;0
OH;2018-2019;045187;000067;Ada Exempted Village;Ada High School;3904518;390451802113;401; 07-12;4;367,279255;Weighted Enrollment;NA;NA;10882,08472;9593;301,2;9894,2;NA;NA;987,8847198;NA;NA;3996763,969;0;0;0;0;0;421,1068778;126833,63;4039683,31;1132,666886;345,3329538;10998,94224;11344,27519;12332,15991;4529346,504;0
OH;2018-2019;061903;033936;Adams County Ohio Valley Local;North Adams Elementary School;3906190;390619004109;704; PK-06;2;709,344855;Weighted Enrollment;NA;NA;10330,24112;8827,1;721,2;9548,3;NA;NA;781,9411205;NA;NA;7327703,39;0;0;0;0;0;843,3408638;608217,98;7444217,63;929,6506422;857,4362325;10494,49725;11351,93348;12133,8746;8607101,521;0
OH;2018-2019;061903;033944;Adams County Ohio Valley Local;North Adams High School;3906190;390619004105;534; 07-12;4;527,043548;Weighted Enrollment;NA;NA;9429,510983;8196,8;487,8;8684,6;NA;NA;744,9109831;NA;NA;4969762,924;0;0;0;0;0;657,7517598;320836,87;5391443,08;929,6509024;608,7483116;10229,59697;10838,34528;11583,25626;6104880,477;0
OH;2018-2019;061903;029520;Adams County Ohio Valley Local;Peebles Elementary School;3906190;390619004107;586; PK-06;2;578,819413;Weighted Enrollment;NA;NA;10523,66372;8995,5;753,3;9748,8;NA;NA;774,8637209;NA;NA;6091300,858;0;0;0;0;0;694,4498955;523100,5;6246944,24;929,6578828;903,7369657;10792,56172;11696,29869;12471,16241;7218550,904;0
OH;2018-2019;061903;029538;Adams County Ohio Valley Local;Peebles High School;3906190;390619004108;393; 07-12;4;387,877752;Weighted Enrollment;NA;NA;9729,128096;8502,5;493,5;8996;NA;NA;733,1280957;NA;NA;3773712,335;0;0;0;0;0;491,8585607;242708,5;4182016,74;929,6623179;625,7345227;10781,7907;11407,52522;12140,65332;4709089,318;0
OH;2018-2019;061903;038885;Adams County Ohio Valley Local;West Union Elementary School;3906190;390619004113;720; PK-06;2;726,969006;Weighted Enrollment;NA;NA;9757,889058;8328;710,1;9038,1;NA;NA;719,7890576;NA;NA;7093682,909;0;0;0;0;0;938,9316673;666707,79;7819397,11;929,6582584;917,1062102;10756,16298;11673,26919;12393,05825;9009369,236;0
OH;2018-2019;061903;038893;Adams County Ohio Valley Local;West Union High School;3906190;390619004114;538; 07-12;4;540,101884;Weighted Enrollment;NA;NA;9256,580695;8049,5;474,3;8523,8;NA;NA;732,7806951;NA;NA;4999496,673;0;0;0;0;0;685,2086216;325006,24;5515575,47;929,65358;601,7498728;10212,10189;10813,85176;11546,63246;6236357,944;0
OH;2018-2019;049494;012096;Adena Local;Adena Elementary School;3904949;390494903613;514; PK-04;2;511,035672;Weighted Enrollment;NA;NA;8229,9672;7094,9;334,6;7429,5;NA;NA;800,4671999;NA;NA;4205806,819;0;0;0;0;0;589,3630995;197222,86;4181475,31;923,1563584;385,9277753;8182,355047;8568,282822;9368,750022;4787765,463;0
OH;2018-2019;049494;000208;Adena Local;Adena High School;3904949;390494903611;325; 09-12;4;291,240546;Weighted Enrollment;NA;NA;8335,018886;7281,9;286,5;7568,4;NA;NA;766,6188861;NA;NA;2427495,451;0;0;0;0;0;350,705996;100493,09;2553795,81;923,1470126;345,0518528;8768,682263;9113,734116;9880,353002;2877559,403;0
OH;2018-2019;049494;123547;Adena Local;Adena Middle School;3904949;390494901451;393; 05-08;3;389,264253;Weighted Enrollment;NA;NA;7361,191881;6337,7;239,4;6577,1;NA;NA;784,0918811;NA;NA;2865448,859;0;0;0;0;0;458,2941727;109728,77;2904545,37;923,138298;281,8876102;7461,628823;7743,516433;8527,608314;3319493,08;0
OH;2018-2019;043489;000363;Akron City;Akron Alternative Academy;3904348;390434805266;288; 10-12;4;260,383005;Weighted Enrollment;NA;NA;8930,773409;7496,9;536,7;8033,6;NA;NA;897,1734085;NA;NA;2325421,617;0;0;0;0;0;375,861452;201739,61;2817785,88;1295,064937;774,7802511;10821,6966;11596,47685;12493,65026;3253134,198;0
OH;2018-2019;043489;009145;Akron City;Akron Early College High School;3904348;390434805431;398; 09-12;4;396,007238;Weighted Enrollment;NA;NA;9815,66058;8154,6;614;8768,6;NA;NA;1047,06058;NA;NA;3887072,635;0;0;0;0;0;489,8134929;300723,26;3994221,69;1295,08845;759,3882918;10086,23406;10845,62235;11892,68293;4709588,518;0
OH;2018-2019;043489;013231;Akron City;Akron STEM High School;3904348;390434805731;331; 09-12;4;324,570678;Weighted Enrollment;NA;NA;10745,2374;9122,1;598,9;9721;NA;NA;1024,2374;NA;NA;3487588,988;0;0;0;0;0;410,3970427;245777,34;3743677,98;1295,076939;757,238274;11534,2458;12291,48408;13315,72148;4321892,747;0
OH;2018-2019;043489;001537;Akron City;Barber Community Learning Center;3904348;390434800019;323; KG-08;3;320,075006;Weighted Enrollment;NA;NA;10780,99078;9362;607,3;9969,3;NA;NA;811,6907822;NA;NA;3450725,689;0;0;0;0;0;510,6983461;310144,85;4781165,65;1295,099999;968,9755344;14937,64137;15906,6169;16718,30768;5351112,432;0
OH;2018-2019;043489;002634;Akron City;Betty Jane Community Learning Center;3904348;390434800038;416; KG-05;2;415,158135;Weighted Enrollment;NA;NA;11079,80736;9423,9;683,2;10107,1;NA;NA;972,7073607;NA;NA;4599872,16;0;0;0;0;0;552,7514253;377666,09;5209051,51;1295,085739;909,6921345;12547,15028;13456,84241;14429,54978;5990544,974;0
OH;2018-2019;043489;004077;Akron City;Buchtel Community Learning Center;3904348;390434800051;877; 06-12;4;865,851029;Weighted Enrollment;NA;NA;10688,44686;9213,1;605,6;9818,7;NA;NA;869,7468586;NA;NA;9254602,711;0;0;0;0;0;1289,276965;780738,91;11878190,87;1295,077967;901,7011978;13718,51562;14620,21682;15489,96368;13412000,99;0
OH;2018-2019;043489;005074;Akron City;Case Community Learning Center;3904348;390434800058;312; KG-05;2;315,332184;Weighted Enrollment;NA;NA;10851,33977;9371,2;634,8;10006;NA;NA;845,339769;NA;NA;3421776,669;0;0;0;0;0;483,0932425;306662,3;4527181,9;1295,072152;972,5055531;14356,86596;15329,37152;16174,71129;5100407,036;0
OH;2018-2019;043489;007864;Akron City;Crouse Community Learning Center;3904348;390434800105;398; KG-05;2;405,415961;Weighted Enrollment;NA;NA;10584,23332;9134,5;623,7;9758,2;NA;NA;826,0333217;NA;NA;4291017,124;0;0;0;0;0;635,6295759;396419,54;5806130,19;1295,092598;977,809406;14321,41491;15299,22432;16125,25764;6537436,823;0
OH;2018-2019;043489;009498;Akron City;East Community Learning Center;3904348;390434800106;1054; 07-12;4;1033,264828;Weighted Enrollment;NA;NA;10993,38476;9476;629,4;10105,4;NA;NA;887,984759;NA;NA;11359077,81;0;0;0;0;0;1506,956213;948405,47;14279902,34;1295,073745;917,872596;13820,17654;14738,04914;15626,0339;16145831,23;0
OH;2018-2019;043489;010272;Akron City;Ellet High School;3904348;390434800113;985; 09-12;4;969,569627;Weighted Enrollment;NA;NA;10769,17563;9323,6;563,4;9887;NA;NA;882,1756276;NA;NA;10441465,6;0;0;0;0;0;1423,379144;801883,83;13270953,43;1295,080162;827,0513098;13687,46819;14514,5195;15396,69513;14928167,95;0
