;1969-70;1979-80;1989-90;1999-2000;2009-10;2018-19;2019-20;1969-70;1979-80;1989-90;1999-2000;2009-10;2018-19;2019-20;"Percent change, 1999-2000 to
 2019-20"
Alabama ;6 818;13 060;24 828;36 689;47 571;52 009;54 095;46 427;43 273;50 297;55 747;56 459;52 823;54 095;-3,0
Alaska ;10 560;27 210;43 153;46 462;59 672;70 277;70 877;71 909;90 158;87 421;70 596;70 821;71 376;70 877;0,4
Arizona ;8 711;15 054;29 402;36 902;46 952;50 353;50 381;59 318;49 880;59 564;56 071;55 725;51 141;50 381;-10,1
Arkansas ;6 307;12 299;22 352;33 386;46 700;49 438;49 822;42 948;40 752;45 281;50 728;55 425;50 211;49 822;-1,8
California ;10 315;18 020;37 998;47 680;68 203;83 059;84 659;70 240;59 708;76 978;72 447;80 946;84 358;84 659;16,9
Colorado ;7 761;16 205;30 758;38 163;49 202;54 935;57 269;52 849;53 694;62 311;57 987;58 395;55 794;57 269;-1,2
Connecticut ;9 262;16 229;40 461;51 780;64 350;76 465;78 247;63 070;53 773;81 967;78 677;76 373;77 661;78 247;-0,5
Delaware ;9 015;16 148;33 377;44 435;57 080;63 662;64 853;61 388;53 505;67 616;67 517;67 745;64 658;64 853;-3,9
District of ;;;;;;;;;;;0;;;;
   Columbia ;10 285;22 190;38 402;47 076;64 548;78 477;79 350;70 036;73 525;77 796;71 529;76 608;79 705;79 350;10,9
Florida ;8 412;14 149;28 803;36 722;46 708;48 314;48 800;57 282;46 881;58 350;55 797;55 435;49 070;48 800;-12,5
Georgia ;7 276;13 853;28 006;41 023;53 112;57 095;60 578;49 546;45 901;56 735;62 332;63 036;57 988;60 578;-2,8
Hawaii ;9 453;19 920;32 047;40 578;55 063;63 201;65 409;64 370;66 003;64 922;61 656;65 351;64 190;65 409;6,1
Idaho ;6 890;13 611;23 861;35 547;46 283;50 757;52 875;46 918;45 099;48 338;54 012;54 931;51 551;52 875;-2,1
